,title,url,year,width,width_num
61,Cuyahoga Lyrics,http://www.metrolyrics.com/cuyahoga-lyrics-rem.html,2014,width:13.726078121136%;,13
62,Lotus Lyrics,http://www.metrolyrics.com/lotus-lyrics-rem.html,2006,width:13.726078121136%;,13
63,Arms Of Love Lyrics,http://www.metrolyrics.com/arms-of-love-lyrics-rem.html,2006,width:13.726078121136%;,13
64,All The Right Friends Lyrics,http://www.metrolyrics.com/all-the-right-friends-lyrics-rem.html,2003,width:13.726078121136%;,13
65,Walk Unafraid Lyrics,http://www.metrolyrics.com/walk-unafraid-lyrics-rem.html,2006,width:13.726078121136%;,13
66,Radio Song Lyrics,http://www.metrolyrics.com/radio-song-lyrics-rem.html,2014,width:13.726078121136%;,13
67,So. Central Rain Lyrics,http://www.metrolyrics.com/so-central-rain-lyrics-rem.html,2011,width:13.726078121136%;,13
68,Disturbance At The Heron House Lyrics,http://www.metrolyrics.com/disturbance-at-the-heron-house-lyrics-rem.html,2008,width:13.726078121136%;,13
69,Finest Worksong Lyrics,http://www.metrolyrics.com/finest-worksong-lyrics-rem.html,2008,width:13.726078121136%;,13
70,Hyena Lyrics,http://www.metrolyrics.com/hyena-lyrics-rem.html,2006,width:13.726078121136%;,13
71,King of Birds Lyrics,http://www.metrolyrics.com/king-of-birds-lyrics-rem.html,2008,width:13.726078121136%;,13
72,The Lifting Lyrics,http://www.metrolyrics.com/the-lifting-lyrics-rem.html,2006,width:13.726078121136%;,13
73,Disappear Lyrics,http://www.metrolyrics.com/disappear-lyrics-rem.html,2014,width:13.726078121136%;,13
74,Animal Lyrics,http://www.metrolyrics.com/animal-lyrics-rem.html,2003,width:13.726078121136%;,13
